# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1985537789
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_null_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled.1,p_gamma.1,p_aux_unscaled.1,g_gamma.1,g_aux_unscaled.1
-87.8792,0.954223,0.409774,2,7,0,89.106,0.540184,-1.34477,-3.80716,3.4743,2.54903,-3.81794
-86.9601,0.999332,0.409774,3,7,0,88.0023,0.405806,-0.683032,3.5184,-3.19706,1.83475,1.93769
-87.4178,0.98416,0.409774,3,7,0,87.7357,0.618799,-0.936511,0.0939412,2.24498,4.67695,0.226405
-88.0511,0.978619,0.409774,3,7,0,89.0165,0.504463,-1.40624,4.06412,-2.62483,2.06956,-4.45145
-88.0992,0.997953,0.409774,1,1,0,88.1377,0.50658,-1.41598,0.344554,-0.740876,2.07362,-4.53669
-88.5141,0.992007,0.409774,3,7,0,89.0972,0.660402,-1.41203,-0.0438105,-3.04188,3.51805,-4.13209
-89.8906,0.955738,0.409774,4,15,0,91.6337,0.79586,-0.492665,-5.1279,3.77348,9.99948,5.32176
-88.8612,0.992229,0.409774,2,3,0,90.2135,0.733222,-0.591866,-5.02532,-2.92723,8.18364,3.98454
-87.0803,1,0.409774,3,7,0,89.1418,0.135073,-0.748018,6.79793,3.02105,-3.54457,1.54409
-87.0333,1,0.409774,2,3,0,87.1024,0.134832,-0.782413,0.70045,-0.920236,-3.4633,1.24068
-88.7883,0.912617,0.409774,2,3,0,89.1208,-0.160325,-0.869186,-1.84697,1.88021,-9.2612,1.73837
-87.5578,0.994675,0.409774,3,7,0,89.7867,0.475871,-0.528125,-8.16198,1.16881,3.53761,3.37824
-88.9366,0.960841,0.409774,3,7,0,90.3831,0.671149,-1.49741,-0.0319052,4.79112,3.35499,-4.90003
-87.5836,0.999654,0.409774,3,7,0,89.6283,0.0212956,-0.767952,4.60975,-4.64784,-5.88018,1.74109
-89.287,0.94049,0.409774,3,7,0,89.9884,0.893722,-0.890149,-3.56805,2.15217,8.48306,2.1833
-91.4352,0.856268,0.409774,3,7,0,94.13,-0.156337,-1.8124,9.0447,-1.00407,-4.48355,-7.31566
-87.9958,0.995926,0.409774,3,15,0,91.4708,0.36019,-0.347922,7.49692,5.14367,1.18446,4.61208
-87.6625,0.998578,0.409774,2,3,0,88.1031,0.395021,-0.438549,-0.118278,-2.6429,1.92854,3.94629
-86.7793,0.960107,0.409774,2,7,0,89.4504,0.315885,-0.741284,-3.01553,-6.14395,0.0658968,1.37484
-86.8439,0.987524,0.409774,2,7,0,87.3451,0.20242,-1.02842,-1.58232,-2.58365,-1.74977,-1.10671
-86.9865,0.977946,0.409774,2,7,0,87.9451,0.471409,-0.761788,-4.41244,-2.29667,2.90056,1.36743
-86.9299,1,0.409774,3,7,0,87.101,0.142327,-0.953751,-0.260739,-1.63707,-2.91794,-0.319059
-86.9529,0.997574,0.409774,3,7,0,87.2035,0.249925,-1.1343,-2.60018,-0.724562,-0.895125,-2.12278
-86.8124,0.992403,0.409774,3,7,0,87.5369,0.217605,-0.785112,4.51821,1.03755,-1.8099,1.05786
-86.9062,0.997946,0.409774,3,7,0,87.0372,0.214767,-1.08774,1.71015,-0.76485,-1.47532,-1.66374
-87.5435,0.9803,0.409774,3,7,0,87.811,0.623459,-1.11323,-1.65438,-1.6876,4.10214,-1.42165
-87.7126,0.995385,0.409774,3,7,0,88.0133,0.00948063,-0.737799,-1.39018,-1.94572,-6.26144,2.06058
-89.1412,0.952763,0.409774,3,7,0,89.5262,0.904327,-1.0668,-0.969734,2.3727,7.40675,0.415055
-88.5775,0.993975,0.409774,3,7,0,89.9631,-0.153663,-1.03431,4.19329,-3.60747,-8.13945,0.10909
-88.874,0.961552,0.409774,3,7,0,90.1772,0.850305,-1.22728,5.1669,2.65602,5.96563,-1.55332
-87.2149,0.981587,0.409774,3,7,0,89.7903,0.143462,-1.17198,-6.2525,4.57343,-2.44611,-2.3245
-87.5341,0.994301,0.409774,3,7,0,87.7042,0.61071,-0.774298,-0.318116,-1.62699,5.19373,1.69266
-86.7269,1,0.409774,2,3,0,87.5086,0.383268,-0.847539,4.6818,1.10336,1.24167,0.472187
-86.9477,0.9698,0.409774,3,7,0,87.9749,0.471962,-1.03391,-5.34019,-1.32099,2.3575,-1.08661
-86.9372,0.99825,0.409774,3,7,0,87.2078,0.339491,-1.13718,-2.88884,-0.181734,0.394305,-2.16993
-87.6836,0.965862,0.409774,2,7,0,88.8328,-0.0232069,-0.910885,5.05197,-2.28251,-6.1967,0.620398
-87.9322,0.992222,0.409774,2,3,0,87.9944,-0.0513238,-0.847341,-0.381033,-0.955857,-7.06563,1.34041
-88.2193,0.992284,0.409774,3,7,0,89.6159,0.193846,-1.46707,6.16808,1.65662,-1.31775,-5.09589
-88.4603,0.997723,0.409774,3,7,0,88.8808,0.287895,-1.52502,3.61537,0.0410757,-0.232357,-5.67733
-87.151,0.999108,0.409774,2,3,0,88.5371,0.239974,-1.21079,0.149974,-4.68881,-0.978304,-2.81352
-86.8893,0.974327,0.409774,3,7,0,88.5834,0.243264,-0.701266,5.14195,3.6591,-1.39687,1.7582
-87.0549,0.982615,0.409774,3,7,0,87.5485,0.481072,-0.735507,-3.64619,1.02289,3.13063,1.62073
-86.807,1,0.409774,3,7,0,87.1099,0.267504,-1.06065,-2.61896,-1.14304,-0.677394,-1.46328
-87.3198,0.988576,0.409774,3,7,0,87.4236,0.584245,-0.837616,1.52413,-0.678855,4.53607,1.01386
-87.657,0.990323,0.409774,3,7,0,88.1763,0.511848,-0.540268,-3.2756,1.66272,4.24683,3.37861
-87.5013,1,0.409774,2,3,0,87.6512,0.494746,-0.566996,-1.43182,-1.15371,3.82188,3.10482
-86.7556,0.995761,0.409774,3,7,0,87.8475,0.216162,-0.874721,3.17086,3.49224,-1.71793,0.264067
-86.9933,0.990901,0.409774,3,7,0,87.2054,0.252463,-1.15354,-1.98751,-1.16179,-0.843854,-2.30028
-86.9824,0.991821,0.409774,2,7,0,87.4633,0.25329,-0.647612,-0.800426,-2.70255,-1.24033,2.2079
-86.835,0.994006,0.409774,3,7,0,87.4315,0.429721,-0.803339,-0.632176,-3.04355,2.09704,0.921956
-87.3283,0.98889,0.409774,3,7,0,87.4246,0.339413,-1.27657,-1.70423,-0.214561,0.356429,-3.44026
-89.7408,0.950077,0.409774,3,7,0,89.9129,0.239732,-1.71823,-1.02964,1.48024,-0.625966,-7.34586
-88.7628,1,0.409774,3,7,0,90.0635,0.238301,-0.207766,-4.92509,-2.87391,-2.09643,5.66882
